count_mean	count_var	fitted_var
0.0101004	0.000306054	0.0101004
0.0101004	0.000306054	0.0101004
0.0101004	0.000306054	0.0101004
0.0101004	0.000306054	0.0101004
0.0114554	0.000393681	0.0114554
0.0114554	0.000393681	0.0114554
0.0114554	0.000393681	0.0114554
0.0114554	0.000393681	0.0114554
0.0118828	0.000423604	0.0118828
0.0120584	0.000436212	0.0120584
0.0126255	0.00047821	0.0126255
0.0134672	0.000544096	0.0134672
0.013477	0.000544888	0.013477
0.013758	0.000567845	0.013758
0.013758	0.000567845	0.013758
0.013758	0.000567845	0.013758
0.013758	0.000567845	0.013758
0.0144291	0.0006246	0.0144291
0.0152618	0.000698767	0.0152618
0.0152618	0.000698767	0.0152618
0.0152618	0.000698767	0.0152618
0.0152618	0.000698767	0.0152618
0.0152739	0.000699878	0.0152739
0.0152739	0.000699878	0.0152739
0.016065	0.000774257	0.016065
0.0163649	0.000803431	0.0163649
0.0171975	0.000887258	0.0171975
0.017955	0.000967151	0.017955
0.018344	0.0010095	0.018344
0.018344	0.0010095	0.018344
0.0183644	0.00101175	0.0183644
0.0190924	0.00109356	0.0190924
0.0190924	0.00109356	0.0190924
0.0202008	0.00122422	0.0202008
0.0202008	0.00122422	0.0202008
0.0208281	0.00130143	0.0208281
0.0215558	0.000468326	0.0215558
0.0215558	0.000468326	0.0215558
0.0224453	0.00151138	0.0224453
0.0229109	0.00157473	0.0229109
0.0229109	0.00157473	0.0229109
0.0233383	0.00054504	0.0233383
0.0235138	0.0016587	0.0235138
0.0235676	0.00166629	0.0235676
0.0235774	0.000578696	0.0235774
0.0238584	0.000595977	0.0238584
0.0238584	0.000595977	0.0238584
0.0249806	0.000636888	0.0249806
0.0252134	0.000646319	0.0252134
0.0252134	0.000646319	0.0252134
0.0252134	0.000646319	0.0252134
0.025251	0.00191284	0.025251
0.0253622	0.00069652	0.0253622
0.0254363	0.00194102	0.0254363
0.0254565	0.00194411	0.0254565
0.0259375	0.000691076	0.0259375
0.0267172	0.000742787	0.0267172
0.0267172	0.000742787	0.0267172
0.0275159	0.00227138	0.0275159
0.0275159	0.00227138	0.0275159
0.0275159	0.00227138	0.0275159
0.0277963	0.0023179	0.0277963
0.0284648	0.00243073	0.0284648
0.0288583	0.0024984	0.0288583
0.0290198	0.000846669	0.0290198
0.0290198	0.000846669	0.0290198
0.0303012	0.00275449	0.0303012
0.0305236	0.00279507	0.0305236
0.0305236	0.00279507	0.0305236
0.0305733	0.00280417	0.0305733
0.0316562	0.00115508	0.0316562
0.031903	0.00129168	0.031903
0.0327298	0.00321373	0.0327298
0.0330113	0.00141796	0.0330113
0.0339151	0.0034507	0.0339151
0.0339588	0.00123622	0.0339588
0.0343663	0.00354313	0.0343663
0.0343949	0.00354903	0.0343949
0.0350328	0.00166728	0.0350328
0.0353138	0.000443043	0.0353138
0.0353138	0.000443043	0.0353138
0.0354626	0.00130638	0.0354626
0.0354626	0.00130638	0.0354626
0.0354626	0.00130638	0.0354626
0.0356108	0.0038044	0.0356108
0.0363879	0.00397223	0.0363879
0.0366689	0.00151216	0.0366689
0.0366689	0.00151216	0.0366689
0.0368176	0.000509132	0.0368176
0.0368176	0.000509132	0.0368176
0.0372376	0.00157567	0.0372376
0.0381545	0.00436729	0.0381545
0.0381727	0.00157417	0.0381727
0.0381727	0.00157417	0.0381727
0.0381848	0.00437424	0.0381848
0.0381848	0.00437424	0.0381848
0.03845	0.00158709	0.03845
0.038503	0.00444745	0.038503
0.0389714	0.00203465	0.0389714
0.0391202	0.000566501	0.0391202
0.0398998	0.00068699	0.0398998
0.040094	0.0048226	0.040094
0.0404016	0.00489687	0.0404016
0.0404752	0.000575483	0.0404752
0.040624	0.00248452	0.040624
0.0412739	0.00511061	0.0412739
0.041979	0.00248943	0.041979
0.041979	0.00248943	0.041979
0.0431491	0.00250253	0.0431491
0.043581	0.00216155	0.043581
0.0436748	0.00276976	0.0436748
0.0437684	0.00574702	0.0437684
0.0441853	0.00585702	0.0441853
0.0443312	0.00589578	0.0443312
0.045563	0.00252835	0.045563
0.0458218	0.0062989	0.0458218
0.0465932	0.00231335	0.0465932
0.046918	0.000887585	0.046918
0.047426	0.00304204	0.047426
0.0482731	0.00110911	0.0482731
0.0487004	0.00101791	0.0487004
0.0487272	0.00327418	0.0487272
0.0488419	0.00402615	0.0488419
0.0489298	0.0030717	0.0489298
0.0492206	0.000898441	0.0492206
0.0496281	0.00319292	0.0496281
0.0496281	0.00319292	0.0496281
0.0496402	0.00739246	0.0496402
0.0504268	0.00258528	0.0504268
0.050502	0.00765135	0.050502
0.0505756	6.39054e-05	0.0505756
0.0507312	0.00772098	0.0507312
0.0507741	0.00279318	0.0507741
0.0508726	0.00776407	0.0508726
0.051003	0.00102056	0.051003
0.0513743	0.0045829	0.0513743
0.0520794	0.00194747	0.0520794
0.0520794	0.00194747	0.0520794
0.0527294	0.00455867	0.0527294
0.0534345	0.00297115	0.0534345
0.0541596	0.00435302	0.0541596
0.0548343	0.00137001	0.0548343
0.0550319	0.00908553	0.0550319
0.0550319	0.00908553	0.0550319
0.0550531	0.0031027	0.0550531
0.0556407	0.00928767	0.0556407
0.0559222	0.00567932	0.0559222
0.0559222	0.00567932	0.0559222
0.0568696	0.00125489	0.0568696
0.0572772	0.00984203	0.0572772
0.0580862	0.00138933	0.0580862
0.0584678	0.00634722	0.0584678
0.0595797	0.00560592	0.0595797
0.0602944	0.00173669	0.0602944
0.0603283	0.00330669	0.0603283
0.0605272	0.00187267	0.0605272
0.0614747	0.00466729	0.0614747
0.0621254	0.00625519	0.0621254
0.0621798	0.00201762	0.0621798
0.0623685	0.0116695	0.0623685
0.0625974	0.00175166	0.0625974
0.0630034	0.00499111	0.0630034
0.0632338	0.00154505	0.0632338
0.0637818	0.00162502	0.0637818
0.0639038	0.00424112	0.0639038
0.0643336	0.00075437	0.0643336
0.064532	0.00532894	0.064532
0.0651323	0.00827989	0.0651323
0.0656886	0.00174484	0.0656886
0.0656886	0.00174484	0.0656886
0.0657262	0.000444242	0.0657262
0.0660226	0.00567185	0.0660226
0.0668454	0.00175921	0.0668454
0.067336	0.0136024	0.067336
0.067336	0.0136024	0.067336
0.0673776	0.00899104	0.0673776
0.0675831	0.00456759	0.0675831
0.0687054	0.00472043	0.0687054
0.0687899	0.0141961	0.0687899
0.0692726	0.00242738	0.0692726
0.0696722	0.00455699	0.0696722
0.0707764	0.000877076	0.0707764
0.0715929	0.00645386	0.0715929
0.0716919	0.0025633	0.0716919
0.0717784	0.00202025	0.0717784
0.0719827	0.00297925	0.0719827
0.0727068	0.00303598	0.0727068
0.0745827	0.00259395	0.0745827
0.0748415	0.0044861	0.0748415
0.0748415	0.0044861	0.0748415
0.0748664	0.00616792	0.0748664
0.0758489	0.00470763	0.0758489
0.0762348	0.0120914	0.0762348
0.0763089	0.0174692	0.0763089
0.0763696	0.017497	0.0763696
0.0767365	0.00348963	0.0767365
0.0768951	0.00454242	0.0768951
0.0771938	0.00318102	0.0771938
0.0782403	0.00226601	0.0782403
0.0783808	0.00276394	0.0783808
0.0787914	0.0124534	0.0787914
0.0817596	0.0200539	0.0817596
0.0817596	0.0200539	0.0817596
0.0822318	0.000699024	0.0822318
0.0824906	0.0128491	0.0824906
0.0827095	0.00777937	0.0827095
0.0838839	0.00582329	0.0838839
0.0840066	0.0211713	0.0840066
0.0840516	0.0127952	0.0840516
0.0845843	0.00636024	0.0845843
0.0848313	0.0148646	0.0848313
0.08647	0.0162603	0.08647
0.0869394	0.009167	0.0869394
0.0873835	0.00763718	0.0873835
0.087825	0.0231397	0.087825
0.0880155	0.00119963	0.0880155
0.0886281	0.00893348	0.0886281
0.0889334	0.0126198	0.0889334
0.089547	0.00223488	0.089547
0.0897813	0.0241821	0.0897813
0.0899928	0.0105615	0.0899928
0.0902469	0.0120917	0.0902469
0.0902469	0.0120917	0.0902469
0.0902885	0.0179766	0.0902885
0.0903083	0.00444368	0.0903083
0.0904945	0.00648876	0.0904945
0.0909034	0.00713998	0.0909034
0.0910508	0.000972722	0.0910508
0.0912513	0.00876972	0.0912513
0.0917198	0.0252376	0.0917198
0.0925555	0.0158107	0.0925555
0.0927398	0.00708602	0.0927398
0.0937509	0.0096548	0.0937509
0.0939987	0.00486534	0.0939987
0.0945612	0.0179319	0.0945612
0.0952032	0.0053973	0.0952032
0.0976424	0.00590522	0.0976424
0.0978648	0.0146477	0.0978648
0.0981452	0.0136068	0.0981452
0.0984304	0.00995921	0.0984304
0.0994986	0.00734631	0.0994986
0.100389	0.0172749	0.100389
0.100721	0.00337939	0.100721
0.101004	0.0306054	0.101004
0.101248	0.00583747	0.101248
0.101336	0.00728343	0.101336
0.101512	0.0058842	0.101512
0.101745	0.0310563	0.101745
0.101826	0.0311057	0.101826
0.102962	0.0230343	0.102962
0.103603	0.00435288	0.103603
0.104624	0.00984829	0.104624
0.104662	0.0228569	0.104662
0.105048	0.00863368	0.105048
0.105607	0.00963991	0.105607
0.107296	0.00533244	0.107296
0.109208	0.015483	0.109208
0.109371	0.00862142	0.109371
0.109599	0.00645856	0.109599
0.112458	0.00390567	0.112458
0.113083	0.0102711	0.113083
0.114554	0.0393681	0.114554
0.114947	0.00492086	0.114947
0.115429	0.0213821	0.115429
0.115503	0.0288245	0.115503
0.117006	0.0212436	0.117006
0.117397	0.0051033	0.117397
0.118349	0.0205733	0.118349
0.118605	0.0213916	0.118605
0.118676	0.00841705	0.118676
0.120071	0.00329011	0.120071
0.12074	0.0308559	0.12074
0.122191	0.0447922	0.122191
0.122998	0.00127015	0.122998
0.123328	0.0100512	0.123328
0.124096	0.0249333	0.124096
0.12601	0.0476354	0.12601
0.12709	0.0111777	0.12709
0.128445	0.00791742	0.128445
0.12852	0.0273184	0.12852
0.128709	0.0233238	0.128709
0.12882	0.00523659	0.12882
0.128984	0.0366869	0.128984
0.129343	0.00739369	0.129343
0.129345	0.0124907	0.129345
0.130089	0.00950295	0.130089
0.131305	0.0517231	0.131305
0.131934	0.0120687	0.131934
0.132883	0.0299245	0.132883
0.133977	0.00592844	0.133977
0.13537	0.0272063	0.13537
0.135794	0.0553202	0.135794
0.136698	0.00405031	0.136698
0.137465	0.0566901	0.137465
0.13758	0.0567845	0.13758
0.137897	0.0110346	0.137897
0.139372	0.0252485	0.139372
0.139375	0.0582758	0.139375
0.141272	0.0444879	0.141272
0.141479	0.0230046	0.141479
0.141828	0.000611692	0.141828
0.142295	0.0261189	0.142295
0.143393	0.0095148	0.143393
0.143413	0.0352549	0.143413
0.143691	0.0207217	0.143691
0.143723	0.0259961	0.143723
0.144141	0.0141173	0.144141
0.144368	0.0129634	0.144368
0.145237	0.00947926	0.145237
0.147121	0.0099057	0.147121
0.147513	0.00480745	0.147513
0.147889	0.01515	0.147889
0.149705	0.0190041	0.149705
0.15086	0.0105964	0.15086
0.150971	0.00292917	0.150971
0.151075	0.00451141	0.151075
0.151338	0.0687093	0.151338
0.15136	0.00348352	0.15136
0.152618	0.0698767	0.152618
0.152748	0.0126029	0.152748
0.152861	0.0571406	0.152861
0.153813	0.00231561	0.153813
0.1539	0.015849	0.1539
0.155651	0.00958441	0.155651
0.156034	0.0188165	0.156034
0.156373	0.00596339	0.156373
0.156497	0.0245214	0.156497
0.158281	0.028877	0.158281
0.15901	0.00451495	0.15901
0.159666	0.0290225	0.159666
0.160117	0.0314576	0.160117
0.160491	0.0520551	0.160491
0.161064	0.0216688	0.161064
0.161198	0.0091757	0.161198
0.16223	0.0138184	0.16223
0.16284	0.0672084	0.16284
0.163276	0.0275694	0.163276
0.163699	0.00794405	0.163699
0.163885	0.0168205	0.163885
0.163986	0.00976103	0.163986
0.164482	0.0608994	0.164482
0.166881	0.0183019	0.166881
0.169081	0.0309565	0.169081
0.169218	0.00708522	0.169218
0.16923	0.0228064	0.16923
0.171315	0.0321795	0.171315
0.172548	0.00524297	0.172548
0.173336	0.0119939	0.173336
0.175306	0.034668	0.175306
0.176186	0.0134112	0.176186
0.176421	0.0290868	0.176421
0.17652	0.0631597	0.17652
0.176569	0.0110761	0.176569
0.176585	0.0465013	0.176585
0.177382	0.00706313	0.177382
0.178273	0.0497628	0.178273
0.178444	0.00195008	0.178444
0.178835	0.0138616	0.178835
0.180359	0.00374695	0.180359
0.181827	0.0171859	0.181827
0.183401	0.0504751	0.183401
0.18367	0.00765003	0.18367
0.184182	0.003658	0.184182
0.185982	0.0162103	0.185982
0.185988	0.0212224	0.185988
0.186467	0.0226846	0.186467
0.186517	0.0165983	0.186517
0.186804	0.0188812	0.186804
0.189436	0.0777815	0.189436
0.18981	0.00872744	0.18981
0.191106	0.00843824	0.191106
0.191719	0.0199741	0.191719
0.192308	0.032124	0.192308
0.193559	0.0231538	0.193559
0.193581	0.0108523	0.193581
0.19418	0.0476063	0.19418
0.194746	0.0297898	0.194746
0.194821	0.0466678	0.194821
0.19588	0.038174	0.19588
0.1974	0.0121005	0.1974
0.200075	0.0134122	0.200075
0.200273	0.0203993	0.200273
0.200725	0.00639107	0.200725
0.200942	0.0211972	0.200942
0.20096	0.00726776	0.20096
0.202008	0.122422	0.202008
0.202008	0.122422	0.202008
0.202079	0.0251512	0.202079
0.203268	0.0707396	0.203268
0.204056	0.0404306	0.204056
0.20475	0.0308924	0.20475
0.205228	0.0270318	0.205228
0.208276	0.0168252	0.208276
0.209761	0.0337374	0.209761
0.210014	0.0118309	0.210014
